"index","relation-type","term1","b1","e1","term2","b2","e2","sentence"
"676","TWrex-diagnose","tuberculosis","107","119","ppd","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as tuberculosis by isolation of Mycobacterium tuberculosis or combination of family contact, radiographic findings suggesting tuberculosis, and positive reaction of 5 mm or more induration to ppd tuberculin."
"677","TWrex-diagnose","tuberculosis","187","199","ppd","253","256","We studied 57 infants (40 boys, 17 girls) who were diagnosed as tuberculosis by isolation of Mycobacterium tuberculosis or combination of family contact, radiographic findings suggesting tuberculosis, and positive reaction of 5 mm or more induration to ppd tuberculin."
"678","TWrex-diagnose","tuberculosis","162","174","ppd","4","7","The ppd-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine tuberculosis, and the use of ppd or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis."
"679","TWrex-diagnose","tuberculosis","162","174","ppd","191","194","The ppd-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine tuberculosis, and the use of ppd or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis."
"680","TWrex-diagnose","tuberculosis","300","312","ppd","4","7","The ppd-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine tuberculosis, and the use of ppd or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis."
"681","TWrex-diagnose","tuberculosis","300","312","ppd","191","194","The ppd-based IFN-gamma test was very effective in differentiating animals vaccinated against Johne's disease that were skin-test positive from those with bovine tuberculosis, and the use of ppd or specific mycobacterial antigens minimised the number of false positive reactions in animals with skin tuberculosis."
"682","TWrex-diagnose","episode","249","256","dexamethasone","61","74","When sleep polygraphic variables, neuroendocrine parameters (dexamethasone suppression and thyrotropin-releasing hormone tests), and various clinical variables (unipolar/bipolar status, psychotic/nonpsychotic subtype, and severity of the depressive episode) were examined, statistically significant differences between endogenous and nonendogenous patients emerged for three variables: the thyroid-stimulating hormone response to the thyrotropin-releasing hormone test, the dexamethasone suppression test response at 16:00 h, and the percentage of time awake during the night."
"683","TWrex-diagnose","episode","249","256","dexamethasone","474","487","When sleep polygraphic variables, neuroendocrine parameters (dexamethasone suppression and thyrotropin-releasing hormone tests), and various clinical variables (unipolar/bipolar status, psychotic/nonpsychotic subtype, and severity of the depressive episode) were examined, statistically significant differences between endogenous and nonendogenous patients emerged for three variables: the thyroid-stimulating hormone response to the thyrotropin-releasing hormone test, the dexamethasone suppression test response at 16:00 h, and the percentage of time awake during the night."
"684","TWrex-diagnose","bronchial hyperresponsiveness","161","190","methacholine","89","101","This study was carried out to compare bronchial responses to inhaled propranolol (P) and methacholine (M) in a group of asthmatic subjects with mild to moderate bronchial hyperresponsiveness to M; to determine the short term reproducibility of bronchial response to propranolol; and to examine the shape of dose-response curve to P relative to that of M. Doses of M and P were given in mumoles and bronchial responses to both agents were expressed as the provocative dose that induced a 20 percent fall in FEV1 (PD20 FEV1."
"685","TWrex-diagnose","hyperresponsiveness","112","131","methacholine","135","147","All subjects complained of asthmatic symptoms at diagnosis, and underwent measurement of non-specific bronchial hyperresponsiveness to methacholine, skin prick tests for common allergens, PEF monitoring during 2 weeks at work, specific bronchial challenge (SBC) test with bleaching dust, and assessment of airway inflammation by induced sputum technique."
"686","TWrex-diagnose","tbc","69","72","ppd","98","101","By multiple-comparison analyses, the T CD4+ lymphocyte number of the tbc group was lower than the ppd- group (P."
"687","TWrex-diagnose","tuberculosis","0","12","tuberculin","44","54","Tuberculosis infection, as estimated by the tuberculin test, T-SPOT.TB test, and expert physician panel, was detected in 12.8%, 35.5, and 26.1 of patients respectively."
"688","TWrex-diagnose","cushing","266","273","dexamethasone","103","116","The 4 patients who were unresponsive to both tests did not show any further inhibition after high-dose dexamethasone administration, had low plasma ACTH levels and showed impaired or absent responses to the CRH test: they were diagnosed as affected with preclinical cushing's syndrome."
"689","TWrex-diagnose","tb","220","222","ppd","82","85","Whilst the intradermal injection of partially purified derivatives of tuberculin (ppd) represents the classic test assessing the delayed type hypersensitivity (DTH) response used in both humans and cattle for diagnosing tb, it has been suggested that the test may modulate host CMI responses."
"690","TWrex-diagnose","aspergillosis","188","201","fumigatus","15","24","An Aspergillus fumigatus immunodiffusion test was performed biweekly for one year on 80 hospitalized patients with acute leukemia to determine if serologic conversion accompanied clinical aspergillosis."
"691","TWrex-diagnose","tb","98","100","ppd","185","188","Our findings suggest that the underlying mechanisms of cytokine regulation might differ between N-tb and R-tb patients, and that decreased IL-12 production in response to the 30-kDa or ppd Ag might be involved in the immunopathogenesis of human R-tb."
"692","TWrex-diagnose","tb","107","109","ppd","185","188","Our findings suggest that the underlying mechanisms of cytokine regulation might differ between N-tb and R-tb patients, and that decreased IL-12 production in response to the 30-kDa or ppd Ag might be involved in the immunopathogenesis of human R-tb."
"693","TWrex-diagnose","tb","247","249","ppd","185","188","Our findings suggest that the underlying mechanisms of cytokine regulation might differ between N-tb and R-tb patients, and that decreased IL-12 production in response to the 30-kDa or ppd Ag might be involved in the immunopathogenesis of human R-tb."
"694","TWrex-diagnose","tb","190","192","tuberculin","120","130","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"695","TWrex-diagnose","tb","190","192","tuberculin","232","242","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"696","TWrex-diagnose","tb","190","192","tuberculin","345","355","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"697","TWrex-diagnose","tb","190","192","tuberculin","456","466","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"698","TWrex-diagnose","tb","304","306","tuberculin","120","130","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"699","TWrex-diagnose","tb","304","306","tuberculin","232","242","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"700","TWrex-diagnose","tb","304","306","tuberculin","345","355","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"701","TWrex-diagnose","tb","304","306","tuberculin","456","466","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"702","TWrex-diagnose","tb","415","417","tuberculin","120","130","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"703","TWrex-diagnose","tb","415","417","tuberculin","232","242","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"704","TWrex-diagnose","tb","415","417","tuberculin","345","355","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"705","TWrex-diagnose","tb","415","417","tuberculin","456","466","To identify individual diagnostic criteria, the study group was divided into 4 subgroups: 1) 119 patients with positive tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 2) 100 patients with positive tuberculin tests (> or = 10 mm induration) without known contact with a tb patient; 3) 33 patients with negative tuberculin tests (> or = 10 mm induration) and a known contact with a tb patient; 4) 32 patients with negative tuberculin tests (> or = 10 mm induration."
"706","TWrex-diagnose","mhs","110","113","halothane","52","61","The potentiation effect on Ca-induced Ca release by halothane and caffeine did not differ appreciably between mhs and normal fibers."
"707","TWrex-diagnose","mg","17","19","chloride","117","125","The diagnosis of MG was based on clinical features and one or more of the following factors: response to edrophonium chloride, electrophysiologic studies and demonstration of circulating AChRAB."
"708","TWrex-diagnose","disorder","149","157","dexamethasone","16","29","Response to the dexamethasone suppression test (DST) was tested in 20 patients fulfilling the Research Diagnostic Criteria (RDC) for schizoaffective disorder, depressed type, and in 52 patients meeting RDC for major depressive disorder."
"709","TWrex-diagnose","disorder","227","235","dexamethasone","16","29","Response to the dexamethasone suppression test (DST) was tested in 20 patients fulfilling the Research Diagnostic Criteria (RDC) for schizoaffective disorder, depressed type, and in 52 patients meeting RDC for major depressive disorder."
"710","TWrex-diagnose","tb","0","2","ppd","131","134","tb suspects underwent standardised evaluation for the presence of signs and/or symptoms of active tb, including chest radiography, ppd skin test, sputum microscopy examination for acid-fast bacilli and mycobacterial culture."
"711","TWrex-diagnose","tb","98","100","ppd","131","134","tb suspects underwent standardised evaluation for the presence of signs and/or symptoms of active tb, including chest radiography, ppd skin test, sputum microscopy examination for acid-fast bacilli and mycobacterial culture."
"712","TWrex-diagnose","tuberculosis","96","108","tb","230","232","A retrospective study was carried out at Lilongwe Central Hospital, Malawi, to determine 1) the tuberculosis case notification rate in health care workers (HCW) in 2001, and 2) whether NTP guidelines were adhered to in diagnosing tb."
"713","TWrex-diagnose","hyperreactivity","160","175","methacholine","205","217","The specific bronchial provocation test was found to be more related to the allergic status, as reflected by specific IgE levels, than to nonspecific bronchial hyperreactivity, as reflected by response to methacholine."
"714","TWrex-diagnose","tuberculosis","49","61","tb","157","159","Using clinically diagnosed and notified cases of tuberculosis as well as subjects in whom the condition had been excluded as controls, it was found that the tb ELISA showed very low degrees of specificity and sensitivity and consequently was not suitable as a diagnostic tool in identifying children aged 5 years or less with tuberculosis."
"715","TWrex-diagnose","tuberculosis","326","338","tb","157","159","Using clinically diagnosed and notified cases of tuberculosis as well as subjects in whom the condition had been excluded as controls, it was found that the tb ELISA showed very low degrees of specificity and sensitivity and consequently was not suitable as a diagnostic tool in identifying children aged 5 years or less with tuberculosis."
"716","TWrex-diagnose","tuberculosis","308","320","tuberculin","79","89","Despite the low number of patients investigated, our findings suggest that the tuberculin skin test and its in vitro correlates (T cell mitogenesis and IL-2 production) could provide simple and reliable diagnostic tools for identifying atypical forms of KD, or vice versa, in subjects not vaccinated against tuberculosis."
"717","TWrex-diagnose","depression","174","184","dexamethasone","105","118","This study was conducted to assess the predictive value of different variables including the response to dexamethasone suppression test (DST), in 105 patients with resistant depression after the addition of lithium (600 to 800 mg/day) for 4 weeks to antidepressant medication."
"718","TWrex-diagnose","cushing's syndrome","151","169","dexamethasone","40","53","Serum cortisol levels, the results of a dexamethasone suppression test and an adrenal scintigram with 131I-19-iodocholesterol were all compatible with Cushing's syndrome due to an adrenal adenoma that secretes cortisol autonomously."
"719","TWrex-diagnose","infection","13","22","tuberculin","44","54","Tuberculosis infection, as estimated by the tuberculin test, T-SPOT.TB test, and expert physician panel, was detected in 12.8%, 35.5, and 26.1 of patients respectively."
"720","TWrex-diagnose","cushing's syndrome","16","34","dexamethasone","160","173","The etiology of Cushing's syndrome is best determined by combining measurements of basal state plasma adrenocorticotropin (ACTH) levels with the 8-mg high-dose dexamethasone suppression test."
"721","TWrex-diagnose","cushing","16","23","dexamethasone","160","173","The etiology of cushing's syndrome is best determined by combining measurements of basal state plasma adrenocorticotropin (ACTH) levels with the 8-mg high-dose dexamethasone suppression test."
"722","TWrex-diagnose","tb","95","97","ppd","137","140","We have reported selective up-regulation of IgG1 (which bind to Fcgamma receptors) in advanced tb and have recently shown the ability of ppd-specific IgG1 antibodies to augment TNF-alpha expression in ppd-stimulated monocytes."
"723","TWrex-diagnose","tb","95","97","ppd","201","204","We have reported selective up-regulation of IgG1 (which bind to Fcgamma receptors) in advanced tb and have recently shown the ability of ppd-specific IgG1 antibodies to augment TNF-alpha expression in ppd-stimulated monocytes."
"724","TWrex-diagnose","tbc","68","71","tuberculin","4","14","The tuberculin test was positive in 22 (71%) patients with definite tbc and in 29 (60%) patients with probable tbc."
"725","TWrex-diagnose","tbc","111","114","tuberculin","4","14","The tuberculin test was positive in 22 (71%) patients with definite tbc and in 29 (60%) patients with probable tbc."
"726","TWrex-diagnose","hyperreactivity","27","42","metacholine","176","187","We conclude that bronchial hyperreactivity as evaluated by the methacholine challenge test is not closely related to isocyanate-induced bronchoconstriction and, therefore, the metacholine challenge is only of limited diagnostic value in patients with suspected isocyanate-induced asthma."
"727","TWrex-diagnose","dwarfism","70","78","ghrh","95","99","These findings suggest that one of the causes of idiopathic pituitary dwarfism is insufficient GHRH release from the hypothalamus."
"728","TWrex-diagnose","tuberculosis","113","125","ppd","208","211","We attempted to overcome the depressed in vitro response observed in PBL from patients with advanced, refractory tuberculosis and found that the addition of exogenous, recombinant IL-2 returned the depressed ppd-induced PBL proliferation in these patients to the level of response observed in PBL from patients with newly diagnosed tuberculosis."
"729","TWrex-diagnose","tuberculosis","332","344","ppd","208","211","We attempted to overcome the depressed in vitro response observed in PBL from patients with advanced, refractory tuberculosis and found that the addition of exogenous, recombinant IL-2 returned the depressed ppd-induced PBL proliferation in these patients to the level of response observed in PBL from patients with newly diagnosed tuberculosis."
"730","TWrex-diagnose","cd","14","16","dms","47","50","These diamino-cd-monomers are polymerized with dms to yield amidine-based polycations."
"731","TWrex-diagnose","cushing","92","99","dexamethasone","234","247","A high index of suspicion of the syndrome is required in patients with symptoms or signs of cushing's syndrome but with normal cortisol values, in patients with fluctuating cortisol values, and in patients with anomalous responses to dexamethasone."
"732","TWrex-diagnose","tuberculosis","52","64","tb","225","227","We identify early predictors of multidrug-resistant tuberculosis and describe improved clinical outcomes, including survival, for patients with human immunodeficiency virus (HIV)-related multidrug-resistant tuberculosis (MDR-tb) when they are prospectively identified and receive treatment under direct observation."
"733","TWrex-diagnose","tuberculosis","207","219","tb","225","227","We identify early predictors of multidrug-resistant tuberculosis and describe improved clinical outcomes, including survival, for patients with human immunodeficiency virus (HIV)-related multidrug-resistant tuberculosis (MDR-tb) when they are prospectively identified and receive treatment under direct observation."
"734","TWrex-diagnose","tuberculosis","44","56","tb","58","60","The diagnosis of bacteriologically negative tuberculosis (tb) in children is traditionally based on clinical criteria, such as a history of contact with a patient with tb, a positive tuberculin test suggesting tb infection and radiological tb changes."
"735","TWrex-diagnose","tuberculosis","44","56","tb","168","170","The diagnosis of bacteriologically negative tuberculosis (tb) in children is traditionally based on clinical criteria, such as a history of contact with a patient with tb, a positive tuberculin test suggesting tb infection and radiological tb changes."
"736","TWrex-diagnose","tuberculosis","44","56","tb","210","212","The diagnosis of bacteriologically negative tuberculosis (tb) in children is traditionally based on clinical criteria, such as a history of contact with a patient with tb, a positive tuberculin test suggesting tb infection and radiological tb changes."
"737","TWrex-diagnose","tuberculosis","44","56","tb","240","242","The diagnosis of bacteriologically negative tuberculosis (tb) in children is traditionally based on clinical criteria, such as a history of contact with a patient with tb, a positive tuberculin test suggesting tb infection and radiological tb changes."
"738","TWrex-diagnose","variant angina","177","191","ergonovine","101","111","We compared the basal coronary artery tone and the constrictive responses to acetylcholine (Ach) and ergonovine (Erg) among three groups of patients: 31 patients (group 1) with variant angina in whom spasm was provoked by low doses of acetylcholine (intracoronary 20 micrograms) or ergonovine (intravenous 50 micrograms); 35 patients (group 2) in whom spasm was provoked by higher doses of acetylcholine (intracoronary 100 micrograms) or ergonovine (intravenous cumulative dose of 350 micrograms); and 26 control subjects."
"739","TWrex-diagnose","variant angina","177","191","ergonovine","282","292","We compared the basal coronary artery tone and the constrictive responses to acetylcholine (Ach) and ergonovine (Erg) among three groups of patients: 31 patients (group 1) with variant angina in whom spasm was provoked by low doses of acetylcholine (intracoronary 20 micrograms) or ergonovine (intravenous 50 micrograms); 35 patients (group 2) in whom spasm was provoked by higher doses of acetylcholine (intracoronary 100 micrograms) or ergonovine (intravenous cumulative dose of 350 micrograms); and 26 control subjects."
"740","TWrex-diagnose","variant angina","177","191","ergonovine","438","448","We compared the basal coronary artery tone and the constrictive responses to acetylcholine (Ach) and ergonovine (Erg) among three groups of patients: 31 patients (group 1) with variant angina in whom spasm was provoked by low doses of acetylcholine (intracoronary 20 micrograms) or ergonovine (intravenous 50 micrograms); 35 patients (group 2) in whom spasm was provoked by higher doses of acetylcholine (intracoronary 100 micrograms) or ergonovine (intravenous cumulative dose of 350 micrograms); and 26 control subjects."
"741","TWrex-diagnose","tuberculosis","167","179","tb","192","194","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active tuberculosis infection (AtbI) and latent tb infected (LtbI) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI."
"742","TWrex-diagnose","tuberculosis","167","179","tb","208","210","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active tuberculosis infection (AtbI) and latent tb infected (LtbI) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI."
"743","TWrex-diagnose","tuberculosis","167","179","tb","222","224","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active tuberculosis infection (AtbI) and latent tb infected (LtbI) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI."
"744","TWrex-diagnose","tuberculosis","167","179","tb","287","289","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active tuberculosis infection (AtbI) and latent tb infected (LtbI) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI."
"745","TWrex-diagnose","tuberculosis","167","179","tb","306","308","Measurements of different cytokines and chemokines in supernatants of PMBC cultures in the presence of PPD showed increased levels of interferon (IFN)-gamma in active tuberculosis infection (AtbI) and latent tb infected (LtbI) compared to controls, and increased levels of TNF-alpha in AtbI compared with LtbI."
"746","TWrex-diagnose","depression","85","95","dexamethasone","4","17","The dexamethasone suppression test (DST) has performed well as a diagnostic test for depression in many specialized research settings."
"747","TWrex-diagnose","tuberculosis","62","74","tb","76","78","Persons with AIDS (PWAs) are 100 times more likely to develop tuberculosis (tb) than the general population."
"748","TWrex-diagnose","depression","305","315","dexamethasone","471","484","Major findings were: (1) the DST gradually normalized 3-4 weeks prior to full resolution of clinical symptomatology; (2) weight loss was an important patient variable which may have contributed to false positive DST results; however, the positive correlation between changes in DST results and changes in depression scores in all our patients with or without weight loss suggests that psychopathological factors other than weight change participate in the development of dexamethasone resistance in depression; (3) the low dose (1 mg) version of the test requires careful control of minor medical disturbances."
"749","TWrex-diagnose","depression","499","509","dexamethasone","471","484","Major findings were: (1) the DST gradually normalized 3-4 weeks prior to full resolution of clinical symptomatology; (2) weight loss was an important patient variable which may have contributed to false positive DST results; however, the positive correlation between changes in DST results and changes in depression scores in all our patients with or without weight loss suggests that psychopathological factors other than weight change participate in the development of dexamethasone resistance in depression; (3) the low dose (1 mg) version of the test requires careful control of minor medical disturbances."
"750","TWrex-diagnose","disease","130","137","icg","78","81","So that, the application of Bayesian analysis to the one point measurement of icg test was useful to clinical evaluation of liver disease."
"751","TWrex-diagnose","tuberculosis","26","38","tb","84","86","We examined a group of M. tuberculosis isolates from newly registered tuberculosis (tb) cases, collected at the largest university hospital, the Siriraj Hospital, in Thailand."
"752","TWrex-diagnose","tuberculosis","70","82","tb","84","86","We examined a group of M. tuberculosis isolates from newly registered tuberculosis (tb) cases, collected at the largest university hospital, the Siriraj Hospital, in Thailand."
"753","TWrex-diagnose","tuberculosis","54","66","tb","68","70","Cachexia is one of the prominent features of advanced tuberculosis (tb) seen in association with increased expression of the monokine TNF-alpha."
"754","TWrex-diagnose","diabetes","203","211","plasma glucose","115","129","Detection of glucose intolerance in PCOS is best performed via 2-h oral glucose tolerance test rather than fasting plasma glucose alone, since it enables diagnosis of both impaired glucose tolerance and diabetes."
"755","TWrex-diagnose","tuberculosis","74","86","ppd","281","284","We believe that the molecular signature distinguishing active from latent tuberculosis infection may require using cytokine bead arrays along with RNA microarrays testing cell cultures at different times following in vitro proliferation assays using several bacterial antigens and ppd."
"756","TWrex-diagnose","infection","198","207","tuberculin","85","95","It has led in 2004 to the discontinuation of all revaccinations and post-vaccination tuberculin tests except those post-vaccination tuberculin tests performed as part of a diagnosis of tuberculosis infection or disease or of the follow-up of health or social workers for whom BCG vaccination remains mandatory."
"757","TWrex-diagnose","infection","198","207","tuberculin","132","142","It has led in 2004 to the discontinuation of all revaccinations and post-vaccination tuberculin tests except those post-vaccination tuberculin tests performed as part of a diagnosis of tuberculosis infection or disease or of the follow-up of health or social workers for whom BCG vaccination remains mandatory."
"758","TWrex-diagnose","disorder","57","65","dexamethasone","137","150","In a sample of 96 patients with DSM-III major depressive disorder and in a subset of 78 melancholic patients, there was no evidence that dexamethasone nonsuppression was more common in patients with reported weight loss."
"759","TWrex-diagnose","cushing","28","35","dexamethasone","211","224","The definitive diagnosis of cushing's syndrome is best established by combining basal state measurements of the daily urine-free cortisol excretion and late evening plasma cortisol levels with the 2-mg low-dose dexamethasone suppression test."
"760","TWrex-diagnose","tuberculosis","55","67","tuberculin","134","144","Of the seven patients with a final diagnosis of active tuberculosis, all were positive by ELISpot including three with false-negative tuberculin skin test results."
"761","TWrex-diagnose","tb","94","96","ppd","168","171","Moreover, according to Mycobacterium bovis BCG vaccination status, only 59% of the vaccinated tb patients responded to ESAT in vitro, whereas 100% of them responded to ppd."
"762","TWrex-diagnose","tuberculosis","151","163","ppd","238","241","A second survey was conducted on 259 persons (109 recently revaccinated healthy persons, considered as tuberculin-negative in the first trial, and 150 tuberculosis patients), using a higher dose of A60 (2 micrograms) and the same dose of ppd (5 I.U."
"763","TWrex-diagnose","hyperreactivity","147","162","methacholine","46","58","The experimental design included pre-exposure methacholine challenge to determine if responses to HCHO were associated with pre-existing bronchial hyperreactivity."
"764","TWrex-diagnose","infection","109","118","test","73","77","Our aim was to evaluate the QuantiFERON-TB Gold In-Tube (QFT-G IT) blood test for Mycobacterium tuberculosis infection in children and to compare results with those of the TST."
"765","TWrex-diagnose","bronchial hyperresponsiveness","45","74","methacholine","142","154","We report two asthmatic patients with normal bronchial hyperresponsiveness and one asthmatic patient with mild bronchial hyperresponsiveness (methacholine PC20; 24 mg/ml) which was presumed to be caused by sensitization and exposure to Black GR, the most frequent sensitizer among reactive dyes."
"766","TWrex-diagnose","bronchial hyperresponsiveness","111","140","methacholine","142","154","We report two asthmatic patients with normal bronchial hyperresponsiveness and one asthmatic patient with mild bronchial hyperresponsiveness (methacholine PC20; 24 mg/ml) which was presumed to be caused by sensitization and exposure to Black GR, the most frequent sensitizer among reactive dyes."
